,FLAG_TSUNAMI,YEAR,FOCAL_DEPTH,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,POPULATION
0,No,1960,150,7,,PERU,"PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA",-15,-75,160,63,2,,,,1,,,,,10155015
1,No,1960,,5.3,6,CHINA,CHINA:  GANSU PROVINCE,33.8,104.5,30,,,,,,1,,1,,,667070000
2,No,1960,33,5.6,,ALGERIA,ALGERIA:  MELOUZA,36,4.1,15,47,1,,88,2,2,,,,,11057863
3,Yes,1960,33,5.9,10,MOROCCO,MOROCCO:  AGADIR,30.45,-9.62,15,13100,4,,25000,4,4,,3,,,12328532
4,Yes,1960,20,7.5,,JAPAN,JAPAN:  SANRIKU,39.8,143.4,30,,,,,,1,,,,,92500572
5,Yes,1960,20,6.7,,JAPAN,JAPAN:  SANRIKU,39.4,143.7,30,,,,,,,,,,,92500572
6,No,1960,,5.8,8,CHINA,CHINA:  JILIN PROVINCE,44.7,127,30,,,,,,1,29,1,,,667070000
7,No,1960,,6,,IRAN,IRAN:  LAR,28,54.5,140,420,3,,,,3,,,,,0
8,No,1960,,,8,INDONESIA,INDONESIA:  CENTRAL SULAWESI:  UNA-UNA ISLAND,-0.5,121.5,170,,,,,,2,50,1,,,87751068
9,Yes,1960,35,8.2,,CHILE,CHILE:  CENTRAL,-37.872,-73.243,160,,1,,,3,1,,,,,8132990
10,Yes,1960,33,9.5,12,CHILE,"CHILE:  PUERTO MONTT, VALDIVIA",-38.143,-73.407,160,2000,4,,3000,4,4,58622,4,,,8132990
11,No,1960,,6.5,,GREECE,GREECE-ALBANIA,40,20,130,8,1,,,,2,,,,,8331725
12,Yes,1960,33,6.6,,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  W. SOLOMON SEA,-9.4,152.3,170,,,,,,,,,,,2255859
13,Yes,1960,50,6.7,,JAPAN,JAPAN:  SANRIKU,40.3,142.5,30,,,,,,,,,,,92500572
14,No,1960,21,,,ECUADOR,ECUADOR,-1.5,-79,160,11,1,,,,1,,,,,4543666
15,No,1960,58,,,INDIA,INDIA:  N,28.6,76.7,60,,,,,,2,,,,,450547679
16,No,1960,28,6.6,,CONGO,CONGO:  LAKE TANGANYIKA,-3.6,29,10,24,1,,,,2,,,,3,0
17,No,1960,,,,PHILIPPINES,PHILIPPINES:  PANAY,11.1,122.3,170,3,1,,,,2,,,,,26269734
18,Yes,1960,55,7.4,,CHILE,CHILE:  CONCEPCION,-38.5,-75.1,160,,1,,,,1,,,,,8132990
19,No,1960,,6.8,9,CHINA,CHINA:  SICHUAN PROVINCE,32.7,103.7,30,,,,,,3,,3,,,667070000
20,Yes,1960,93,6.7,,PERU,PERU,-6.8,-80.7,160,,,,,,,,,,,10155015
21,Yes,1961,59,6.6,,RUSSIA,RUSSIA:  KAMCHATKA,50.016,156.099,50,,,,,,,,,,,0
22,Yes,1961,40,,,JAPAN,JAPAN:  KASHIMA,36,142.3,30,,,,,,,,,,,94943000
23,Yes,1961,20,,,JAPAN,JAPAN:  KASHIMA,36,141.9,30,,,,,,,,,,,94943000
24,Yes,1961,20,,,JAPAN,JAPAN:  KASHIMA,36.2,141.9,30,,,,,,,,,,,94943000
25,No,1961,141,7.6,,INDIA,INDIA,24.9,93.34,60,,,,,,,,,,,459642165
26,Yes,1961,80,,,RUSSIA,RUSSIA:  KURIL ISLANDS,43.2,147.9,50,,,,,,,,,,,0
27,Yes,1961,74,7.3,,JAPAN,JAPAN:  MIYAZAKI,31.6,131.8,30,2,1,,7,1,2,170,3,170,3,94943000
28,No,1961,40,7.5,,KERMADEC ISLANDS (NEW ZEALAND),KERMADEC ISLANDS,-28.3,-175.7,170,,,,,,,,,,,0
29,No,1961,,4.9,7,CHINA,CHINA:  HUBEI PROVINCE,30.5,110,30,,,,,,2,25,1,,,660330000
30,No,1961,74,6.5,8,INDONESIA,INDONESIA:  FLORES:  ENDEH,-8.2,122,60,2,1,,6,1,2,,,,,90098394
31,No,1961,,,,ITALY,ITALY:  SICILY,38,15.3,130,15,1,,,,2,,,,,50536350
32,No,1961,16,,,USA,CALIFORNIA:  TERMINAL ISLAND,34,-118,150,,,,,,2,,,,,183691000
33,No,1961,,6.8,9,CHINA,CHINA: XINJIANG,39.8,77.7,40,,,,,,2,53,2,,,660330000
34,Yes,1961,,6.5,,TURKEY,TURKEY,36.7,28.5,140,,,,,,,,,,,28146910
